Numero de documentos (noticias) del corpus: 5914
Numero de palabras del corpus: 750761
Palabra: <EMPTY> Frec: 21 LogProb: -10.48
Palabra: <NON-ASCII> Frec: 735 LogProb: -6.93
Palabra: <UNK> Frec: 22513 LogProb: -3.51
Palabra: aa Frec: 28 LogProb: -10.20
Palabra: aaa Frec: 14 LogProb: -10.89
Palabra: aaai Frec: 1 LogProb: -13.53
Palabra: aaal Frec: 1 LogProb: -13.53
Palabra: aaarghh Frec: 2 LogProb: -12.84
Palabra: aaas Frec: 4 LogProb: -12.14
Palabra: aabb Frec: 1 LogProb: -13.53
Palabra: aabyhoej Frec: 1 LogProb: -13.53
Palabra: aac Frec: 3 LogProb: -12.43
Palabra: aaccess Frec: 2 LogProb: -12.84
Palabra: aace Frec: 1 LogProb: -13.53
Palabra: aachen Frec: 1 LogProb: -13.53
Palabra: aad Frec: 2 LogProb: -12.84
Palabra: aads Frec: 7 LogProb: -11.58
Palabra: aae Frec: 1 LogProb: -13.53
Palabra: aafarli Frec: 1 LogProb: -13.53
Palabra: aafke Frec: 1 LogProb: -13.53
Palabra: aafter Frec: 2 LogProb: -12.84
Palabra: aag Frec: 2 LogProb: -12.84
Palabra: aaghbar Frec: 1 LogProb: -13.53
Palabra: aagrra Frec: 4 LogProb: -12.14
Palabra: aahus Frec: 1 LogProb: -13.53
Palabra: aaj Frec: 1 LogProb: -13.53
Palabra: aak Frec: 1 LogProb: -13.53
Palabra: aal Frec: 4 LogProb: -12.14
Palabra: aala Frec: 1 LogProb: -13.53
Palabra: aalborg Frec: 1 LogProb: -13.53
Palabra: aale Frec: 1 LogProb: -13.53
Palabra: aalib Frec: 1 LogProb: -13.53
Palabra: aallan Frec: 1 LogProb: -13.53
Palabra: aamodt Frec: 1 LogProb: -13.53
Palabra: aamt Frec: 1 LogProb: -13.53
Palabra: aan Frec: 1 LogProb: -13.53
Palabra: aanbevelingen Frec: 1 LogProb: -13.53
Palabra: aanhalingstekens Frec: 1 LogProb: -13.53
Palabra: aantal Frec: 1 LogProb: -13.53
Palabra: aao Frec: 4 LogProb: -12.14
Palabra: aarbakke Frec: 1 LogProb: -13.53
Palabra: aaret Frec: 1 LogProb: -13.53
Palabra: aarhus Frec: 2 LogProb: -12.84
Palabra: aarne Frec: 1 LogProb: -13.53
Palabra: aarno Frec: 1 LogProb: -13.53
Palabra: aaron Frec: 7 LogProb: -11.58
Palabra: aarons Frec: 1 LogProb: -13.53
Palabra: aarp Frec: 1 LogProb: -13.53
Palabra: aarts Frec: 1 LogProb: -13.53
Palabra: aas Frec: 4 LogProb: -12.14
Palabra: aat Frec: 1 LogProb: -13.53
Palabra: aatsp Frec: 1 LogProb: -13.53
Palabra: aau Frec: 1 LogProb: -13.53
Palabra: aave Frec: 1 LogProb: -13.53
Palabra: ab Frec: 22 LogProb: -10.44
Palabra: aba Frec: 6 LogProb: -11.74
Palabra: ababa Frec: 2 LogProb: -12.84
Palabra: abacha Frec: 35 LogProb: -9.97
Palabra: abachas Frec: 6 LogProb: -11.74
Palabra: aback Frec: 5 LogProb: -11.92
Palabra: abacus Frec: 4 LogProb: -12.14
Palabra: abacustech Frec: 1 LogProb: -13.53
Palabra: abad Frec: 1 LogProb: -13.53
Palabra: abaitua Frec: 1 LogProb: -13.53
Palabra: abajero Frec: 1 LogProb: -13.53
Palabra: abajo Frec: 3 LogProb: -12.43
Palabra: abalone Frec: 5 LogProb: -11.92
Palabra: abancdoned Frec: 1 LogProb: -13.53
Palabra: abandon Frec: 6 LogProb: -11.74
Palabra: abandoned Frec: 17 LogProb: -10.70
Palabra: abandoning Frec: 1 LogProb: -13.53
Palabra: abandonment Frec: 1 LogProb: -13.53
Palabra: abandonned Frec: 1 LogProb: -13.53
Palabra: abandons Frec: 1 LogProb: -13.53
Palabra: abank Frec: 2 LogProb: -12.84
Palabra: abarbanel Frec: 1 LogProb: -13.53
Palabra: abarron Frec: 1 LogProb: -13.53
Palabra: abase Frec: 2 LogProb: -12.84
Palabra: abash Frec: 3 LogProb: -12.43
Palabra: abate Frec: 4 LogProb: -12.14
Palabra: abatement Frec: 3 LogProb: -12.43
Palabra: abaurre Frec: 1 LogProb: -13.53
Palabra: abazis Frec: 5 LogProb: -11.92
Palabra: abb Frec: 2 LogProb: -12.84
Palabra: abbadingo Frec: 1 LogProb: -13.53
Palabra: abbas Frec: 2 LogProb: -12.84
Palabra: abbccc Frec: 1 LogProb: -13.53
Palabra: abbe Frec: 4 LogProb: -12.14
Palabra: abbey Frec: 4 LogProb: -12.14
Palabra: abbi Frec: 1 LogProb: -13.53
Palabra: abbildung Frec: 1 LogProb: -13.53
Palabra: abbonati Frec: 5 LogProb: -11.92
Palabra: abboni Frec: 4 LogProb: -12.14
Palabra: abbott Frec: 5 LogProb: -11.92
Palabra: abbreaviated Frec: 1 LogProb: -13.53
Palabra: abbreviated Frec: 1 LogProb: -13.53
Palabra: abbreviation Frec: 3 LogProb: -12.43
Palabra: abbreviations Frec: 2 LogProb: -12.84
Palabra: abbs Frec: 1 LogProb: -13.53
Palabra: abby Frec: 3 LogProb: -12.43
Palabra: abbyy Frec: 1 LogProb: -13.53
Palabra: abc Frec: 16 LogProb: -10.76
Palabra: abcd Frec: 3 LogProb: -12.43
Palabra: abcdef Frec: 4 LogProb: -12.14
Palabra: abcsearch Frec: 3 LogProb: -12.43
Palabra: abd Frec: 1 LogProb: -13.53
Palabra: abdallat Frec: 7 LogProb: -11.58
Palabra: abdel Frec: 2 LogProb: -12.84
Palabra: abdelaziz Frec: 4 LogProb: -12.14
Palabra: abdelkader Frec: 1 LogProb: -13.53
Palabra: abdellah Frec: 1 LogProb: -13.53
Palabra: abdellatif Frec: 1 LogProb: -13.53
Palabra: abdelmajid Frec: 1 LogProb: -13.53
Palabra: abdelouahab Frec: 1 LogProb: -13.53
Palabra: abderrahim Frec: 1 LogProb: -13.53
Palabra: abdomen Frec: 4 LogProb: -12.14
Palabra: abdominal Frec: 14 LogProb: -10.89
Palabra: abduct Frec: 4 LogProb: -12.14
Palabra: abducted Frec: 1 LogProb: -13.53
Palabra: abductees Frec: 1 LogProb: -13.53
Palabra: abduction Frec: 1 LogProb: -13.53
Palabra: abductive Frec: 1 LogProb: -13.53
Palabra: abdul Frec: 7 LogProb: -11.58
Palabra: abdulaziz Frec: 1 LogProb: -13.53
Palabra: abdulfanova Frec: 1 LogProb: -13.53
Palabra: abdulkarim Frec: 1 LogProb: -13.53
Palabra: abdulla Frec: 10 LogProb: -11.23
Palabra: abdullah Frec: 2 LogProb: -12.84
Palabra: abe Frec: 5 LogProb: -11.92
Palabra: abed Frec: 4 LogProb: -12.14
Palabra: abeer Frec: 1 LogProb: -13.53
Palabra: abegging Frec: 1 LogProb: -13.53
Palabra: abeill Frec: 1 LogProb: -13.53
Palabra: abeille Frec: 1 LogProb: -13.53
Palabra: abeis Frec: 7 LogProb: -11.58
Palabra: abel Frec: 4 LogProb: -12.14
Palabra: abels Frec: 8 LogProb: -11.45
Palabra: abelson Frec: 3 LogProb: -12.43
Palabra: abend Frec: 1 LogProb: -13.53
Palabra: abendessen Frec: 1 LogProb: -13.53
Palabra: aber Frec: 4 LogProb: -12.14
Palabra: abercrombie Frec: 1 LogProb: -13.53
Palabra: aberdeen Frec: 3 LogProb: -12.43
Palabra: abernathy Frec: 6 LogProb: -11.74
Palabra: aberrant Frec: 2 LogProb: -12.84
Palabra: aberrate Frec: 4 LogProb: -12.14
Palabra: aberration Frec: 1 LogProb: -13.53
Palabra: aberrational Frec: 3 LogProb: -12.43
Palabra: aberrations Frec: 1 LogProb: -13.53
Palabra: aberta Frec: 1 LogProb: -13.53
Palabra: aberystwyth Frec: 1 LogProb: -13.53
Palabra: aberyswyth Frec: 1 LogProb: -13.53
Palabra: abet Frec: 6 LogProb: -11.74
Palabra: abetted Frec: 7 LogProb: -11.58
Palabra: abetter Frec: 2 LogProb: -12.84
Palabra: abeyance Frec: 3 LogProb: -12.43
Palabra: abeyant Frec: 3 LogProb: -12.43
Palabra: abeyta Frec: 2 LogProb: -12.84
Palabra: abgabe Frec: 1 LogProb: -13.53
Palabra: abgerufen Frec: 1 LogProb: -13.53
Palabra: abhaengigkeit Frec: 1 LogProb: -13.53
Palabra: abhalten Frec: 1 LogProb: -13.53
Palabra: abhaltungsort Frec: 1 LogProb: -13.53
Palabra: abhay Frec: 1 LogProb: -13.53
Palabra: abhorred Frec: 7 LogProb: -11.58
Palabra: abhorrent Frec: 4 LogProb: -12.14
Palabra: abi Frec: 1 LogProb: -13.53
Palabra: abid Frec: 1 LogProb: -13.53
Palabra: abide Frec: 6 LogProb: -11.74
Palabra: abiding Frec: 1 LogProb: -13.53
Palabra: abidjan Frec: 33 LogProb: -10.03
Palabra: abie Frec: 17 LogProb: -10.70
Palabra: abigail Frec: 1 LogProb: -13.53
Palabra: abigge Frec: 1 LogProb: -13.53
Palabra: abiggyn Frec: 1 LogProb: -13.53
Palabra: abihch Frec: 1 LogProb: -13.53
Palabra: abiic Frec: 1 LogProb: -13.53
Palabra: abiiity Frec: 31 LogProb: -10.09
Palabra: abilities Frec: 6 LogProb: -11.74
Palabra: ability Frec: 174 LogProb: -8.37
Palabra: abillity Frec: 1 LogProb: -13.53
Palabra: abington Frec: 2 LogProb: -12.84
Palabra: abis Frec: 1 LogProb: -13.53
Palabra: abit Frec: 3 LogProb: -12.43
Palabra: abiteboul Frec: 1 LogProb: -13.53
Palabra: abituali Frec: 1 LogProb: -13.53
Palabra: abiword Frec: 1 LogProb: -13.53
Palabra: abiyuh Frec: 1 LogProb: -13.53
Palabra: abject Frec: 4 LogProb: -12.14
Palabra: abkl Frec: 1 LogProb: -13.53
Palabra: abl Frec: 1 LogProb: -13.53
Palabra: ablative Frec: 2 LogProb: -12.84
Palabra: ablauf Frec: 1 LogProb: -13.53
Palabra: ablaut Frec: 1 LogProb: -13.53
Palabra: ablaze Frec: 9 LogProb: -11.33
Palabra: ableads Frec: 2 LogProb: -12.84
Palabra: ableist Frec: 1 LogProb: -13.53
Palabra: abler Frec: 1 LogProb: -13.53
Palabra: ableto Frec: 1 LogProb: -13.53
Palabra: ablex Frec: 1 LogProb: -13.53
Palabra: ablock Frec: 1 LogProb: -13.53
Palabra: ablution Frec: 3 LogProb: -12.43
Palabra: ablx Frec: 1 LogProb: -13.53
Palabra: abmelden Frec: 3 LogProb: -12.43
Palabra: abn Frec: 3 LogProb: -12.43
Palabra: abnegateall Frec: 4 LogProb: -12.14
Palabra: abner Frec: 4 LogProb: -12.14
Palabra: abney Frec: 1 LogProb: -13.53
Palabra: abnormal Frec: 6 LogProb: -11.74
Palabra: abnormally Frec: 1 LogProb: -13.53
Palabra: abo Frec: 4 LogProb: -12.14
Palabra: aboard Frec: 11 LogProb: -11.13
Palabra: abode Frec: 3 LogProb: -12.43
Palabra: abolished Frec: 1 LogProb: -13.53
Palabra: abolition Frec: 3 LogProb: -12.43
Palabra: abominate Frec: 3 LogProb: -12.43
Palabra: abondolo Frec: 1 LogProb: -13.53
Palabra: abook Frec: 1 LogProb: -13.53
Palabra: aboout Frec: 1 LogProb: -13.53
Palabra: aborder Frec: 1 LogProb: -13.53
Palabra: aborigen Frec: 1 LogProb: -13.53
Palabra: aborigenes Frec: 1 LogProb: -13.53
Palabra: aboriginal Frec: 4 LogProb: -12.14
Palabra: aborigine Frec: 2 LogProb: -12.84
Palabra: aborigines Frec: 2 LogProb: -12.84
Palabra: abort Frec: 7 LogProb: -11.58
Palabra: aborted Frec: 1 LogProb: -13.53
Palabra: abortingi Frec: 1 LogProb: -13.53
Palabra: abortive Frec: 8 LogProb: -11.45
Palabra: abot Frec: 1 LogProb: -13.53
Palabra: abou Frec: 1 LogProb: -13.53
Palabra: abound Frec: 3 LogProb: -12.43
Palabra: abounds Frec: 1 LogProb: -13.53
Palabra: aboutall Frec: 1 LogProb: -13.53
Palabra: aboutbecause Frec: 3 LogProb: -12.43
Palabra: aboutbusiness Frec: 4 LogProb: -12.14
Palabra: aboutextorting Frec: 1 LogProb: -13.53
Palabra: aboutgetting Frec: 1 LogProb: -13.53
Palabra: abouti Frec: 1 LogProb: -13.53
Palabra: aboutness Frec: 1 LogProb: -13.53
Palabra: aboutthe Frec: 14 LogProb: -10.89
Palabra: aboutus Frec: 4 LogProb: -12.14
Palabra: aboutwe Frec: 3 LogProb: -12.43
Palabra: aboutworking Frec: 3 LogProb: -12.43
Palabra: aboutyour Frec: 6 LogProb: -11.74
Palabra: above Frec: 405 LogProb: -7.52
Palabra: abovegiven Frec: 1 LogProb: -13.53
Palabra: aboveground Frec: 4 LogProb: -12.14
Palabra: aboveif Frec: 1 LogProb: -13.53
Palabra: abovementioned Frec: 3 LogProb: -12.43
Palabra: abovenet Frec: 1 LogProb: -13.53
Palabra: aboveplease Frec: 3 LogProb: -12.43
Palabra: abovetelefax Frec: 3 LogProb: -12.43
Palabra: abovewe Frec: 4 LogProb: -12.14
Palabra: aboveyes Frec: 1 LogProb: -13.53
Palabra: abox Frec: 1 LogProb: -13.53
Palabra: abr Frec: 3 LogProb: -12.43
Palabra: abrade Frec: 5 LogProb: -11.92
Palabra: abraham Frec: 6 LogProb: -11.74
Palabra: abrahamsen Frec: 1 LogProb: -13.53
Palabra: abramo Frec: 1 LogProb: -13.53
Palabra: abramov Frec: 3 LogProb: -12.43
Palabra: abrams Frec: 2 LogProb: -12.84
Palabra: abrasive Frec: 3 LogProb: -12.43
Palabra: abreact Frec: 3 LogProb: -12.43
Palabra: abreast Frec: 4 LogProb: -12.14
Palabra: abreviaturas Frec: 1 LogProb: -13.53
Palabra: abrg Frec: 5 LogProb: -11.92
Palabra: abri Frec: 1 LogProb: -13.53
Palabra: abridged Frec: 1 LogProb: -13.53
Palabra: abridging Frec: 2 LogProb: -12.84
Palabra: abrier Frec: 1 LogProb: -13.53
Palabra: abrigliano Frec: 1 LogProb: -13.53
Palabra: abril Frec: 1 LogProb: -13.53
Palabra: abriter Frec: 1 LogProb: -13.53
Palabra: abroad Frec: 33 LogProb: -10.03
Palabra: abrogate Frec: 3 LogProb: -12.43
Palabra: abrogating Frec: 2 LogProb: -12.84
Palabra: abroker Frec: 3 LogProb: -12.43
Palabra: abrook Frec: 1 LogProb: -13.53
Palabra: abrufen Frec: 1 LogProb: -13.53
Palabra: abrupt Frec: 3 LogProb: -12.43
Palabra: abruptly Frec: 2 LogProb: -12.84
Palabra: abrusci Frec: 1 LogProb: -13.53
Palabra: abryou Frec: 3 LogProb: -12.43
Palabra: abs Frec: 1 LogProb: -13.53
Palabra: absa Frec: 4 LogProb: -12.14
Palabra: absalom Frec: 1 LogProb: -13.53
Palabra: abschluss Frec: 1 LogProb: -13.53
Palabra: abscissa Frec: 3 LogProb: -12.43
Palabra: abscissae Frec: 5 LogProb: -11.92
Palabra: absconded Frec: 3 LogProb: -12.43
Palabra: absence Frec: 12 LogProb: -11.04
Palabra: absense Frec: 1 LogProb: -13.53
Palabra: absent Frec: 8 LogProb: -11.45
Palabra: absentia Frec: 2 LogProb: -12.84
Palabra: absinthe Frec: 3 LogProb: -12.43
Palabra: absoiuteiy Frec: 3 LogProb: -12.43
Palabra: absolute Frec: 35 LogProb: -9.97
Palabra: absolutely Frec: 188 LogProb: -8.29
Palabra: absolutelyno Frec: 3 LogProb: -12.43
Palabra: absolutelypositively Frec: 4 LogProb: -12.14
