Numero de documentos (noticias) del corpus: 6046
Numero de palabras del corpus: 996805
Palabra: <EMPTY> Frec: 2 LogProb: -13.12
Palabra: <NON-ASCII> Frec: 236 LogProb: -8.35
Palabra: <UNK> Frec: 35174 LogProb: -3.34
Palabra: aa Frec: 53 LogProb: -9.84
Palabra: aaa Frec: 12 LogProb: -11.33
Palabra: aaai Frec: 8 LogProb: -11.73
Palabra: aaal Frec: 11 LogProb: -11.41
Palabra: aaas Frec: 26 LogProb: -10.55
Palabra: aace Frec: 15 LogProb: -11.10
Palabra: aachen Frec: 7 LogProb: -11.87
Palabra: aads Frec: 1 LogProb: -13.81
Palabra: aafke Frec: 3 LogProb: -12.71
Palabra: aaghbar Frec: 3 LogProb: -12.71
Palabra: aagrra Frec: 1 LogProb: -13.81
Palabra: aal Frec: 6 LogProb: -12.02
Palabra: aalborg Frec: 6 LogProb: -12.02
Palabra: aao Frec: 1 LogProb: -13.81
Palabra: aarhus Frec: 6 LogProb: -12.02
Palabra: aarne Frec: 3 LogProb: -12.71
Palabra: aaron Frec: 10 LogProb: -11.51
Palabra: aarts Frec: 6 LogProb: -12.02
Palabra: aas Frec: 1 LogProb: -13.81
Palabra: aau Frec: 6 LogProb: -12.02
Palabra: ab Frec: 66 LogProb: -9.62
Palabra: aba Frec: 2 LogProb: -13.12
Palabra: ababa Frec: 2 LogProb: -13.12
Palabra: abacha Frec: 1 LogProb: -13.81
Palabra: abachas Frec: 1 LogProb: -13.81
Palabra: abacus Frec: 2 LogProb: -13.12
Palabra: abacustech Frec: 4 LogProb: -12.43
Palabra: abad Frec: 3 LogProb: -12.71
Palabra: abajo Frec: 1 LogProb: -13.81
Palabra: abalone Frec: 1 LogProb: -13.81
Palabra: abandon Frec: 9 LogProb: -11.62
Palabra: abandoned Frec: 24 LogProb: -10.63
Palabra: abandoning Frec: 10 LogProb: -11.51
Palabra: abandonment Frec: 6 LogProb: -12.02
Palabra: abandonned Frec: 3 LogProb: -12.71
Palabra: abandons Frec: 4 LogProb: -12.43
Palabra: abase Frec: 2 LogProb: -13.12
Palabra: abate Frec: 2 LogProb: -13.12
Palabra: abatement Frec: 1 LogProb: -13.81
Palabra: abazis Frec: 1 LogProb: -13.81
Palabra: abb Frec: 13 LogProb: -11.25
Palabra: abbe Frec: 1 LogProb: -13.81
Palabra: abbey Frec: 4 LogProb: -12.43
Palabra: abbonati Frec: 1 LogProb: -13.81
Palabra: abboni Frec: 1 LogProb: -13.81
Palabra: abbott Frec: 12 LogProb: -11.33
Palabra: abbreviated Frec: 6 LogProb: -12.02
Palabra: abbreviation Frec: 7 LogProb: -11.87
Palabra: abbreviations Frec: 6 LogProb: -12.02
Palabra: abbs Frec: 3 LogProb: -12.71
